City;Winning time in minutes;Women;Year
Athens 1896;178.83;;1896
Paris 1900;179.75;;1900
St. Louis 1904;208.88;;1904
London 1908;175.31;;1908
Stockholm 1912;156.91;;1912
Antwerp 1920;152.6;;1920
Paris 1924;161.38;;1924
Amsterdam 1928;152.95;;1928
Los Angeles 1932;151.6;;1932
Berlin 1936;149.32;;1936
London 1948;154.86;;1948
Helsinki 1952;143.05;;1952
Melbourne 1956;145;;1956
Rome 1960;135.27;;1960
Tokyo 1964;132.19;;1964
Mexico City 1968;140.44;;1968
Munich 1972;132.33;;1972
Montreal 1976;129.92;;1976
Moscow 1980;131.05;;1980
Los Angeles 1984;129.35;144.87;1984
Seoul 1988;130.53;144.67;1988
Barcelona 1992;133.38;152.68;1992
Atlanta 1996;132.06;146.08;1996
Sydney 2000;130.18;143.23;2000
Athens 2004;130.92;146.33;2004
Beijing 2008;126.53;146.73;2008
London 2012;128.02;143.12;2012
Rio 2016;128.73;144.07;2016
Tokyo 2020;128.63;147.33;2020
